hardware_attempt,gpu,process_id,role,process_repeat,component,execution_mode,condition_id,model_size,family,kappa,partition,implementation,selected_linear_sites,attention_qk_pv_execution,process_stage,process_error,quality_scope,reference_correctness_pass,candidate_correctness_pass,mode_correctness_pass,failed_candidate_validation_blocks,max_abs_logit_error,max_relative_l2,qualified_complete_timing,canonical_validation_loss,measured_R_model_fraction,measured_R_model_percent,block_zero_product_count,model_product_count,run025_reference_validation_loss,run025_candidate_validation_loss,run025_candidate_validation_loss_delta,timing_available,paired_geomean_speedup,reference_median_host_ms,candidate_median_host_ms,speedup_input_cluster_ci95_low,speedup_input_cluster_ci95_high,paired_timing_samples,timing_input_clusters,input_manifest_sha256,development_input_sha256,manifest_sha256,timing_sha256,timing_samples_sha256,quality_sha256,source
rtxpro4500-003,NVIDIA RTX PRO 4500 Blackwell,component-attnproj-14m-a0-k013-rtxpro4500-003,component,,attention_projection,eager,14m/a0,14M,A0,,development,k013,a;z,dense SDPA except selected attention projection linears,complete,,complete-validation,True,True,True,0,0.0,0.0,True,5.2085730123096665,1.1415112639303073e-08,1.1415112639303072e-06,72635,6363055915008,5.209966218440203,5.209973189238929,6.9707987258027515e-06,True,1.0111835007809136,5.579847143962979,5.559641635045409,0.998835136705638,1.0276624353884312,80,16,26ee05928200134671caaf0ae62e9722df8584124a8ceee483f1cfd7923c5a5b,4bd751109b82f203ed904946874d12f1d9bb576874689a7990654a39c2644378,48993cdfaa7dbbbd9d0fea04562900860ea51b2e1b59d8c4345b7902a069e2ca,93082bcb81db75cbea07480f892f411189f1402042da469ca62c4af657a857c4,f99b509c52c35591678e03d94e66fc32d33069233a95f73d3d37dfc031aa1918,148721e7e0e4ac349640fa9d790cd8d3ef7ad36c12823b95d6471334454cb8e9,runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/retrieved/rtxpro4500-003/evidence-verified/artifacts/component-attnproj-14m-a0-k013-rtxpro4500-003
rtxpro4500-003,NVIDIA RTX PRO 4500 Blackwell,component-attnproj-14m-a4-0-k013-rtxpro4500-003,component,,attention_projection,eager,14m/a4-0,14M,A4-OL1,0.0,development,k013,a;z,dense SDPA except selected attention projection linears,complete,,complete-validation,True,True,True,0,0.0,0.0,True,5.458276166718387,0.0781004229286857,7.81004229286857,496957358081,6363055915008,5.4598567823695845,5.459861111992483,4.3296228984246454e-06,True,1.0236008410896624,7.679269416257739,7.3220920749008656,1.0100594693129312,1.0412085410037581,80,16,26ee05928200134671caaf0ae62e9722df8584124a8ceee483f1cfd7923c5a5b,4bd751109b82f203ed904946874d12f1d9bb576874689a7990654a39c2644378,21a7b548f435d13e0169c35191ce408c67737cb54e291b7df3ff536208f4278e,fc737287ee671884587301c8e68ab2c012f1b6601f76ed35a52af101c02c1f10,7c59c156e08ce6b0177efafc97dbf7d2b814be3308a5c3b608cde6eabfa2111d,61d071d8967400fe5b4e0032d3dcf646ee87f5fb39563f7d97853f61ff709c78,runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/retrieved/rtxpro4500-003/evidence-verified/artifacts/component-attnproj-14m-a4-0-k013-rtxpro4500-003
rtxpro4500-003,NVIDIA RTX PRO 4500 Blackwell,component-attnproj-14m-a4-0p5-k013-rtxpro4500-003,component,,attention_projection,eager,14m/a4-0p5,14M,A4-OL1,0.5,development,k013,a;z,dense SDPA except selected attention projection linears,complete,,complete-validation,True,True,True,0,0.0,0.0,True,6.037982463131289,0.12713448684742273,12.713448684742273,808963848536,6363055915008,6.040296513804297,6.040296513804297,0.0,True,1.014049649121279,5.239559570327401,5.14771300368011,1.0088614835112268,1.0185823704892867,80,16,26ee05928200134671caaf0ae62e9722df8584124a8ceee483f1cfd7923c5a5b,4bd751109b82f203ed904946874d12f1d9bb576874689a7990654a39c2644378,ad221ca1edf928889b050e1ff6060e8017632279c9846021a2062853a672168a,c9c1e19ed5fddc04a4e309d82d618ce9a287e0c7c7d0dc21063b22521a804a4d,33131ddcff1e93e47c04bd1f215ad299dc503635da7260fad2866852c5ab1ccd,1c34d8049c9144af5dac96cc0a3ef3281856b9710bcf0ae9f74c772b8f15d9e7,runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/retrieved/rtxpro4500-003/evidence-verified/artifacts/component-attnproj-14m-a4-0p5-k013-rtxpro4500-003
rtxpro4500-003,NVIDIA RTX PRO 4500 Blackwell,component-attnproj-14m-a7-0-k013-rtxpro4500-003,component,,attention_projection,eager,14m/a7-0,14M,A7-OL1,0.0,development,k013,a;z,dense SDPA except selected attention projection linears,complete,,complete-validation,True,True,True,0,0.0,0.0,True,5.480180751642532,0.0705422917861371,7.054229178613711,448864547008,6363055915008,5.482406401979291,5.48238318292094,-2.321905835067639e-05,True,1.0137458071868746,5.272128619253635,5.1820846274495125,1.0069260127302495,1.019329312251402,80,16,26ee05928200134671caaf0ae62e9722df8584124a8ceee483f1cfd7923c5a5b,4bd751109b82f203ed904946874d12f1d9bb576874689a7990654a39c2644378,5c356bbbba440edb33937c91b6ad125dd5af4bf285f729a8c884faa789c9ef98,1adca27ef834060e595bc557e527ccfe461c3c23ebce412bbbd4cd54347779f4,92a8b1d80b3f73da36bcf39823391a3d6ea62bb96098b6d66aac61333ccf2834,70f0817989618feeef5f8536e31775abc64194b30c37aebf41ddc18c85474e8f,runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/retrieved/rtxpro4500-003/evidence-verified/artifacts/component-attnproj-14m-a7-0-k013-rtxpro4500-003
rtxpro4500-003,NVIDIA RTX PRO 4500 Blackwell,component-attnproj-14m-a7-0p5-k013-rtxpro4500-003,component,,attention_projection,eager,14m/a7-0p5,14M,A7-OL1,0.5,development,k013,a;z,dense SDPA except selected attention projection linears,complete,,complete-validation,True,True,True,0,0.0,0.0,True,5.829406580981418,0.27482684296304843,27.482684296304843,1748738568719,6363055915008,5.831297464664293,5.831297464664293,0.0,True,1.0160874384181036,5.91748021543026,5.82377053797245,1.012446957232794,1.018708608006485,80,16,26ee05928200134671caaf0ae62e9722df8584124a8ceee483f1cfd7923c5a5b,4bd751109b82f203ed904946874d12f1d9bb576874689a7990654a39c2644378,2fd0019cd5b17e959b98b84c59076b382a86251f0bda6c4a83a58a0eda405c0a,dcc2662dfcd075eec3853f430d6e4679440af186cfe7573a327acb503cb0bf22,91b41699f71a4970f1404c1d83ae1c98dee4788ba50b78014a5ab616b65c4f2a,3c0181ad73c0e4720f43ecd4235aa1316da6fa568f6d795e28abf3e00b9573bd,runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/retrieved/rtxpro4500-003/evidence-verified/artifacts/component-attnproj-14m-a7-0p5-k013-rtxpro4500-003
rtxpro4500-003,NVIDIA RTX PRO 4500 Blackwell,component-attnproj-70m-a4-0-k016-rtxpro4500-003,component,,attention_projection,eager,70m/a4-0,70M,A4-OL1,0.0,development,k016,a;z,dense SDPA except selected attention projection linears,complete,,complete-validation,True,True,True,0,0.0,0.0,True,4.805361172503973,0.25672509475572236,25.672509475572237,9049865489862,35251191545856,4.814718091569863,4.814620438989633,-9.765258023008982e-05,True,1.0080776964148266,5.603306461125612,5.505781155079603,1.002227936701821,1.0141078043010623,80,16,26ee05928200134671caaf0ae62e9722df8584124a8ceee483f1cfd7923c5a5b,4bd751109b82f203ed904946874d12f1d9bb576874689a7990654a39c2644378,220a45daafc3723d10871bfec0260ae2c2aaf6b254dc7d49ed8a53571273f4a3,e7c7dfec6d06f036ceb26ec04decdb8fa0798bd122916ae787a870d1585a78f6,86689ee1412ee66a77a90e892f0409c874447f16d749307eec793a9e8ba407cc,d522abb00eb2dce9db14bae1055c9dcc6de498968a0f1175bfe74072f818b432,runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/retrieved/rtxpro4500-003/evidence-verified/artifacts/component-attnproj-70m-a4-0-k016-rtxpro4500-003
rtxpro4500-003,NVIDIA RTX PRO 4500 Blackwell,component-attnproj-70m-a4-0p5-k016-rtxpro4500-003,component,,attention_projection,eager,70m/a4-0p5,70M,A4-OL1,0.5,development,k016,a;z,dense SDPA except selected attention projection linears,complete,,complete-validation,True,True,True,0,0.0,0.0,True,5.389480136202637,0.3559621916980309,35.59621916980309,12548091402630,35251191545856,5.398816271078256,5.398816278135506,7.057249895581208e-09,True,1.016411985279005,5.654012085869908,5.556266056373715,0.9952075944723584,1.0336752087343855,80,16,26ee05928200134671caaf0ae62e9722df8584124a8ceee483f1cfd7923c5a5b,4bd751109b82f203ed904946874d12f1d9bb576874689a7990654a39c2644378,6754f982c5d3a93e81ff98040bfe08ece6ff898ee0f947e6452565f0e305e3c9,21fb82662392a07aa92dafe7868c5c700091b5ee444f0f7193b2191c1029d03e,a75921cef72b5d7b02d6a9afb908d4a128640190564c62fb2629ef0880f08616,115f0ff1aa21c3a753835afbe2dc867429acac4f53d8e3906980e6a2c3e33a0a,runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/retrieved/rtxpro4500-003/evidence-verified/artifacts/component-attnproj-70m-a4-0p5-k016-rtxpro4500-003
rtxpro4500-003,NVIDIA RTX PRO 4500 Blackwell,component-attnproj-70m-a7-0-k016-rtxpro4500-003,component,,attention_projection,eager,70m/a7-0,70M,A7-OL1,0.0,development,k016,z,dense SDPA except selected attention projection linears,complete,,complete-validation,True,True,True,0,0.0,0.0,True,4.941205969223609,0.23562417494680196,23.562417494680197,8306032923884,35251191545856,4.9502589823041205,4.950281527747955,2.2545443834509626e-05,True,1.006201521290051,5.584718892350793,5.56210009381175,0.9910966862473798,1.0207360126704226,80,16,26ee05928200134671caaf0ae62e9722df8584124a8ceee483f1cfd7923c5a5b,4bd751109b82f203ed904946874d12f1d9bb576874689a7990654a39c2644378,5d581ccbc4def3f7384e63438cba1067b33734d15b60bef3cab60495dfb7139b,68a044a63e76c70ce98edfbba505e14c3c8c95a576302275d72a659b5f2b6c6f,3ec317d53b92c52d512bc0d747a46ac996589b1a8456563fd15f739eb02ce78b,6b1d32c6053cd755621767fdd679bb16924a7b7f0969040de6b8eee38ca6b6c0,runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/retrieved/rtxpro4500-003/evidence-verified/artifacts/component-attnproj-70m-a7-0-k016-rtxpro4500-003
rtxpro4500-003,NVIDIA RTX PRO 4500 Blackwell,component-attnproj-70m-a7-0p5-k016-rtxpro4500-003,component,,attention_projection,eager,70m/a7-0p5,70M,A7-OL1,0.5,development,k016,z,dense SDPA except selected attention projection linears,complete,,complete-validation,True,True,True,0,0.0,0.0,True,5.215924663303872,0.4060187215635989,40.60187215635989,14312643725042,35251191545856,5.2265333158010545,5.2265333158010545,0.0,True,1.0072750933380663,6.350624607875943,6.333239143714309,0.9956351755945362,1.0234883138466058,80,16,26ee05928200134671caaf0ae62e9722df8584124a8ceee483f1cfd7923c5a5b,4bd751109b82f203ed904946874d12f1d9bb576874689a7990654a39c2644378,64b28a3eb9a6f293c69e5094b1ce03f688f21d23a6440c007b210014f4c1ad0e,dabf02f4e98151e919efa7d9189f0f00bbe9edb389460192c4f6841e2b2b4171,aa461124ae944901b01c9dfccb5b71636b08a4269b821759d090be5daa8e5673,3bef1d3650a67dc4f28e2a66c7826caceb3bbae4e7bd8741e7d10e9d7e3002b9,runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/retrieved/rtxpro4500-003/evidence-verified/artifacts/component-attnproj-70m-a7-0p5-k016-rtxpro4500-003
rtxpro4500-003,NVIDIA RTX PRO 4500 Blackwell,component-ffn-14m-a0-k013-rtxpro4500-003,component,,ffn,eager,14m/a0,14M,A0,,development,k013,h;m,dense SDPA except selected attention projection linears,complete,,complete-validation,True,True,True,0,0.0,0.0,True,5.2085730123096665,1.1415112639303073e-08,1.1415112639303072e-06,72635,6363055915008,5.209966218440203,5.209977526977665,1.1308537462006996e-05,True,0.9638763868446208,5.610777530819178,5.642619915306568,0.9510649062359336,0.9775892670639738,80,16,26ee05928200134671caaf0ae62e9722df8584124a8ceee483f1cfd7923c5a5b,4bd751109b82f203ed904946874d12f1d9bb576874689a7990654a39c2644378,614d586fbb6f737bbfc4d981b47ea3fa8650fc0bb512bfa066b63b82b6bf1bf0,7702c085c45fb3333ff79d87d8fe528776b61adaa166077a0e5876aa289d663c,498cfaa64889319745eec342ed04990bcb6a7ff9728b75d2ea39977ddf2f461c,81e1d02aaf9e719e7bbb7296ae781a4d84751dbb35a05257d96e908726b332a3,runs/025-2026-09-05-pythia-agentic-sparse-kernel-search/retrieved/rtxpro4500-003/evidence-verified/artifacts/component-ffn-14m-a0-k013-rtxpro4500-003
